Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
"C10, C12, C13, C16, C29, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,
"C11, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C3",0402,12,1uF,
"C14, C15",0402,2,33pF,
"C27, C28",0603,2,4.7uF,
D1,0805,1,KT-0805G,
"D2, D3, D4",D_SOD-123,3,MBR0530,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_PAD_1x15_P2.54mm_Vertical,2,Conn_01x15,
L1,25x35mm-NFC,1,NFC Antenna,
L2,L_Sunlord_SWPA5020S,1,68uH,SWPA5020S680MT
Q2,SOT-23,1,IRLML2060,
"R1, R2",0402,2,5.1K,
"R10, R11, R13, R14, R5, R8",0402,6,10K,
R12,0402,1,0.47,
"R3, R4",0402,2,22,
"R6, R9",0402,2,1K,
R7,0402,1,220,
"SW1, SW2, SW3",SW_Push_SPST_TSA016,3,TSA016A2526B,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-223-3_TabPin2,1,NCP1117ST33T3G,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U5,LCSC_1x24-1MP_P0.5mm_Horizontal,1,Conn,C262567
U6,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,ST25DV04K-JFR6D3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,X322512MSB4SI
