Designator,Mid X,Mid Y,Rotation,Layer
C1,121.581004,-51.05,90.0,top
C10,134.981004,-51.022,90.0,top
C11,144.511004,-53.752,0.0,top
C12,133.601004,-52.002,180.0,top
C13,132.77,-55.85,180.0,top
C14,145.698996,-60.298,180.0,top
C15,146.95,-55.7,180.0,top
C16,128.631004,-57.7575,90.0,top
C17,162.531004,-59.402,0.0,top
C18,162.531004,-58.452,0.0,top
C19,162.531004,-54.552,0.0,top
C2,132.481004,-49.702,90.0,top
C20,162.531004,-53.602,0.0,top
C21,162.531004,-52.652,0.0,top
C22,162.531004,-51.702,0.0,top
C23,162.531004,-50.752,0.0,top
C24,162.531004,-49.802,0.0,top
C25,162.531004,-48.852,0.0,top
C26,162.531004,-47.902,0.0,top
C27,156.0,-48.275,270.0,top
C28,153.75,-56.95,0.0,top
C29,201.33,-78.67,90.0,top
C3,134.031004,-50.602,90.0,top
C30,200.3,-72.9,0.0,top
C4,140.65,-49.15,90.0,top
C5,144.6,-54.7,0.0,top
C6,135.931004,-50.252,90.0,top
C7,140.625,-60.705,270.0,top
C8,135.931004,-59.652,270.0,top
C9,133.12,-54.9,180.0,top
D1,104.0625,-48.7,0.0,top
D2,159.15,-51.0,180.0,top
D3,159.15,-48.65,0.0,top
D4,159.15,-46.25,180.0,top
J1,101.5,-55.05,270.0,top
J2,140.819974,-83.8675,90.0,top
J3,140.817629,-26.2325,270.0,top
L1,200.82005,-54.7475,0.0,top
L2,158.1,-55.05,90.0,top
Q2,154.3625,-51.6,180.0,top
R1,107.91,-52.923502,0.0,top
R10,199.33,-78.7,90.0,top
R11,151.44,-50.65,180.0,top
R12,151.45,-52.55,180.0,top
R13,200.33,-79.58,90.0,top
R14,202.33,-78.69,90.0,top
R2,107.91,-57.323502,0.0,top
R3,133.781004,-53.952,0.0,top
R4,133.781004,-52.952,0.0,top
R5,143.358504,-78.085,270.0,top
R6,145.0,-55.7,180.0,top
R7,106.3125,-48.7,270.0,top
R8,128.581004,-65.5375,270.0,top
R9,154.6,-78.04,90.0,top
SW1,140.183504,-77.5,0.0,top
SW2,151.433504,-77.5,0.0,top
SW3,128.928504,-77.5,0.0,top
U1,139.381004,-54.940998,180.0,top
U2,109.01,-55.111002,180.0,top
U3,127.031004,-50.05,180.0,top
U4,131.631004,-61.6375,0.0,top
U5,167.500004,-55.128498,90.0,top
U6,200.98,-75.5625,270.0,top
Y1,146.15,-58.0,180.0,top
